district,HDI_2010,HDI_2011,HDI_2012,HDI_2013,HDI_2014,HDI_2015,HDI_2016,HDI_2017,HDI_2018,HDI_2019,HDI_2020,HDI_2021,HDI_2022,HDI_2023,PopDens2010,PopDens2011,PopDens2012,PopDens2013,PopDens2014,PopDens2015,PopDens2016,PopDens2017,PopDens2018,PopDens2019,PopDens2020,PopDens2021,PopDens2022,PopDens2023
Rejang Lebong,64.19,64.92,65.51,66.11,66.55,67.51,68.34,68.61,69.4,70.1,70.44,70.77,71.45,72.31,187.4759431,179.6862906,182.310913,184.154108,185.4989465,187.0383392,188.7189109,190.3725355,191.8884896,194.3026441,195.8360807,185.9031881,187.1436302,188.5964928
Rembang,64.53,65.36,66.03,66.84,67.4,68.18,68.6,68.95,69.46,70.15,70.02,70.43,71,71.89,628.4588411,571.8624199,578.8556394,584.7144195,589.7753193,595.2968147,600.4937104,605.7597279,610.5535587,585.3047932,589.9272226,619.6288355,606.2021686,610.7177749
Rokan Hilir,64.13,64.76,65.09,65.46,66.22,66.81,67.52,67.84,68.73,69.4,69.15,69.34,70.1,70.78,23.53456626,29.83456951,29.26565682,29.62768642,30.08236018,30.31694939,30.43721728,30.70466992,30.95562617,33.43960793,33.61885362,66.26549666,67.19105926,67.68358301
Rokan Hulu,63.59,64.2,64.99,66.07,67.02,67.29,67.86,68.67,69.36,69.93,69.38,69.67,70.31,71.02,31.73839067,37.78512438,37.87194222,38.3067704,39.03044283,39.18512773,39.37159781,39.67915065,40.01923038,43.21602585,43.55510925,79.78394197,82.13915018,82.74815895
Rote Ndao,54.79,55.78,56.56,57.28,57.82,58.32,59.28,60.51,61.51,62.22,62.39,62.6,63.21,64,95.87963897,99.70739145,100.9700057,101.9473131,101.8956902,98.64829775,99.5327711,97.24222473,98.15219447,102.1837237,102.9624249,97.36041383,93.84002248,94.57753314
Sabang City,69.7,70.15,70.84,71.07,71.5,72.51,73.36,74.1,74.82,75.77,75.78,76.11,76.85,77.52,,,,,,,,,,,,,,
Sabu Raijua,0,49.16,50.3,51.55,52.51,53.28,54.16,55.22,55.79,56.66,57.02,57.03,57.9,58.89,48.58226872,50.34558057,50.79892914,51.36567447,83.51433526,87.63420932,88.43227944,89.588558,86.27940213,88.68957472,87.90337964,150.6786813,153.1839447,154.6312028
Salatiga City,78.35,78.76,79.1,79.37,79.98,80.96,81.14,81.68,82.41,83.12,83.14,83.6,84.35,84.99,,,,,,,,,,,,,,
Samarinda City,75.85,77.05,77.34,77.84,78.39,78.69,78.91,79.46,79.93,80.2,80.11,80.76,81.43,82.32,,,,,,,,,,,,,,
Sambas,59.81,60.57,61.53,62.47,63.28,64.14,64.94,65.92,66.61,67.02,67.03,67.1,67.95,68.69,69.38645823,66.43042455,67.25631984,67.92744809,68.71325517,69.35292317,69.94005143,70.55284935,71.89351743,74.4113966,74.88161696,109.1903098,109.97178,110.8099065
Samosir,65.14,65.81,66.31,66.8,67.8,68.43,68.82,69.43,69.99,70.55,70.63,70.83,71.67,72.08,89.39540297,89.03807357,85.76240972,86.8321221,96.90525964,97.00409354,97.90730739,98.76591512,98.92492872,99.55772113,100.3532949,100.3518377,97.20000076,97.87006925
Sampang,54.49,55.17,55.78,56.45,56.98,58.18,59.09,59.9,61,61.94,62.7,62.8,63.39,64.13,709.3052277,670.5510789,678.8283961,685.6970648,692.0396189,698.4233579,704.9960708,711.4692833,715.8412351,674.7473063,679.7082621,783.187801,783.2759766,789.4974393
Sanggau,60.57,60.96,61.39,61.72,62.06,63.05,63.9,64.61,65.15,65.67,65.77,66.2,66.91,67.77,32.93189928,31.64234115,32.46778293,32.80212239,33.06781551,33.38149368,33.70550819,34.00396913,34.20344975,35.37851524,35.6602543,36.13690783,36.87801419,37.19426639
Sarmi,56.98,57.96,59.03,59.51,60.48,60.99,61.27,62.31,63,63.45,63.63,63.94,64.86,65.8,4.668578881,6.919810084,6.994877585,7.085185718,7.225397021,7.313333459,7.37744449,7.439293685,7.457569059,7.978474393,7.984457722,2.698288901,2.475008904,2.541912378
